,loser,round,score,winner,start_date,tournament_link,tournament_name
0,B Lutz / S Smith,F,7-6 6-4 2-6 7-6,B Gottfried / R Ramirez,1980-09-08,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1980,World of Doubles
1,F Gonzalez / R Moore,SF,6-4 7-5,B Lutz / S Smith,1980-09-08,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1980,World of Doubles
2,M Riessen / S Stewart,SF,7-5 6-1,B Gottfried / R Ramirez,1980-09-08,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1980,World of Doubles
3,A Pattison / B Walts,QF,6-4 3-6 7-5,B Lutz / S Smith,1980-09-08,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1980,World of Doubles
4,V Amaya / H Pfister,QF,6-1 6-4,F Gonzalez / R Moore,1980-09-08,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1980,World of Doubles
5,W Fibak / H Gunthardt,QF,7-6 4-6 6-4,B Gottfried / R Ramirez,1980-09-08,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1980,World of Doubles
6,K Curren / S Denton,QF,6-4 4-6 7-6,M Riessen / S Stewart,1980-09-08,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1980,World of Doubles
7,F Buehning / F Taygan,R16,6-4 6-4,B Lutz / S Smith,1980-09-08,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1980,World of Doubles
8,B Manson / B Teacher,R16,6-4 6-3,A Pattison / B Walts,1980-09-08,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1980,World of Doubles
9,B Hewitt / F McMillan,R16,6-4 6-3,F Gonzalez / R Moore,1980-09-08,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1980,World of Doubles
10,B Scanlon / D Stockton,R16,6-3 7-5,V Amaya / H Pfister,1980-09-08,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1980,World of Doubles
11,J Sadri / T Wilkison,R16,6-4 6-4,W Fibak / H Gunthardt,1980-09-08,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1980,World of Doubles
12,P Kronk / C Letcher,R16,3-6 7-6 6-4,B Gottfried / R Ramirez,1980-09-08,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1980,World of Doubles
13,S Bondurant / B Willenborg,R16,6-1 6-4,K Curren / S Denton,1980-09-08,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1980,World of Doubles
14,J Bailey / J Whitlinger,R16,2-6 7-6 6-3,M Riessen / S Stewart,1980-09-08,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1980,World of Doubles
15,N Saviano / S Schneider,R32,4-6 7-6 6-2,B Lutz / S Smith,1980-09-08,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1980,World of Doubles
16,C Dibley / F McNair,R32,7-5 7-5,F Buehning / F Taygan,1980-09-08,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1980,World of Doubles
17,R Smith / K Terry,R32,6-4 6-3,A Pattison / B Walts,1980-09-08,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1980,World of Doubles
18,R Case / J Lloyd,R32,6-4 6-4,B Manson / B Teacher,1980-09-08,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1980,World of Doubles
19,T Gullikson / T Gullikson,R32,6-1 6-4,B Hewitt / F McMillan,1980-09-08,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1980,World of Doubles
20,S Ball / J James,R32,4-6 7-6 6-2,F Gonzalez / R Moore,1980-09-08,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1980,World of Doubles
21,B Martin / R Simpson,R32,2-6 6-3 6-4,B Scanlon / D Stockton,1980-09-08,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1980,World of Doubles
22,M Puc / F Swope,R32,6-1 6-4,V Amaya / H Pfister,1980-09-08,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1980,World of Doubles
23,M Cahill / T Moor,R32,6-3 6-7 6-2,W Fibak / H Gunthardt,1980-09-08,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1980,World of Doubles
24,G Jones / Z Mincek,R32,6-3 6-2,J Sadri / T Wilkison,1980-09-08,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1980,World of Doubles
25,M Doyle / L Stefanki,R32,7-6 7-5,P Kronk / C Letcher,1980-09-08,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1980,World of Doubles
26,M Dickson / M Gandolfo,R32,7-5 7-6,B Gottfried / R Ramirez,1980-09-08,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1980,World of Doubles
27,D Carter / R Fagel,R32,6-1 6-1,K Curren / S Denton,1980-09-08,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1980,World of Doubles
28,S Menon / R Trogolo,R32,4-6 7-5 6-1,S Bondurant / B Willenborg,1980-09-08,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1980,World of Doubles
29,B Kleege / C Lewis,R32,7-5 6-7 6-4,J Bailey / J Whitlinger,1980-09-08,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1980,World of Doubles
30,P Rennert / V Hof,R32,6-4 6-3,M Riessen / S Stewart,1980-09-08,https://matchstat.com/tennis/tournaments/m/World%20of%20Doubles/1980,World of Doubles
